sex,row_number,liters_drunk,age,drink,check_number,label
Ж,79.0,2,66,Cola,3116,0
М,23.0,0,10,Fanta,8118,0
М,92.0,0,18,Fanta,2264,1
Ж,52.0,5,67,Beerbeer,7640,1
Ж,57.0,2,27,Beerbeer,8764,0
М,15.0,1,44,Bugbeer,6235,0
Ж,49.0,0,11,Cola,185,1
М,33.0,5,64,Fanta,2970,1
Ж,5.0,0,39,Water,6494,0
М,48.0,1,64,Water,9971,1
Ж,78.0,99602005,51,Water,3592,0
М,32.0,2,35,Strong beer,2021,0
Ж,12.0,3,59,Cola,5675,1
Ж,16.0,5,77,Bugbeer,1637,0
Ж,46.0,74068055,37,Strong beer,7830,1
Ж,4.0,3,18,Cola,2174,1
Не указан,1.0,4,70,Strong beer,8641,1
Не указан,18.0,4,16,Cola,9424,0
Не указан,83.0,2,25,Fanta,3405,1
М,,-6,15,Cola,2468,0
Ж,40.0,3,55,Water,8793,0
Не указан,67.0,1,44,Strong beer,6158,0
М,9.0,4,47,Bugbeer,6079,1
М,8.0,4,51,Fanta,839,1
Ж,95.0,1,71,Strong beer,1634,1
Не указан,65.0,2,33,Fanta,4953,1
М,70.0,44068553,31,Fanta,7091,0
Не указан,19.0,4,30,Beerbeer,1405,1
М,52.0,3,38,Fanta,6992,1
Не указан,97.0,4,56,Bugbeer,6773,0
Не указан,65.0,1,17,Fanta,2749,0
Не указан,10.0,1,74,Fanta,6254,1
Ж,44.0,4,42,Strong beer,3258,1
Ж,6.0,5,63,Water,6664,0
Не указан,88.0,5,52,Bugbeer,4708,0
Не указан,6.0,4,54,Cola,7737,1
Ж,86.0,0,55,Fanta,2104,1
М,40.0,4,46,Water,1784,1
Ж,57.0,3,22,Cola,2744,0
Ж,82.0,5,10,Water,4306,1
М,4.0,2,18,Water,814,0
М,67.0,0,40,Fanta,2285,0
М,52.0,3,50,Beerbeer,3395,0
Ж,33.0,2,60,Fanta,8192,1
Ж,48.0,2,53,Cola,4185,0
Не указан,85.0,4,69,Strong beer,7741,0
М,29.0,1,49,Cola,2884,0
Ж,34.0,0,12,Cola,2506,0
Не указан,21.0,4,13,Water,3491,0
М,,5,24,Water,9165,1
Ж,96.0,4,70,Fanta,1639,1
Не указан,100.0,0,37,Strong beer,9393,0
Не указан,90.0,5,80,Strong beer,4095,0
Ж,50.0,4,48,Fanta,8911,1
Ж,45.0,-3,79,Beerbeer,3519,1
М,42.0,5,60,Beerbeer,1994,1
М,29.0,5,56,Cola,1522,1
М,20.0,5,72,Fanta,4966,0
Не указан,59.0,4,76,Cola,6122,0
Не указан,93.0,50044606,13,Fanta,9170,1
М,3.0,4,29,Strong beer,4029,1
М,18.0,1,60,Water,4629,0
Не указан,67.0,1,34,Beerbeer,6829,0
М,96.0,3,80,Beerbeer,1279,0
М,89.0,3,54,Beerbeer,567,1
М,33.0,1,66,Strong beer,3628,1
Ж,31.0,0,53,Fanta,9976,0
М,30.0,3,75,Fanta,2632,0
Ж,35.0,5,68,Strong beer,1230,1
Ж,95.0,2,29,Water,85,0
Ж,53.0,5,38,Fanta,5084,1
Не указан,42.0,4,68,Cola,805,0
Ж,95.0,1,78,Beerbeer,3003,1
Ж,90.0,-6,23,Bugbeer,2593,0
Ж,58.0,2,67,Beerbeer,3953,0
Ж,33.0,4,40,Strong beer,6224,1
Ж,13.0,5,76,Fanta,8053,0
Ж,74.0,0,61,Beerbeer,5697,1
Ж,64.0,2,30,Fanta,3468,1
Ж,65.0,4,17,Water,6361,0
Ж,55.0,1,27,Fanta,6532,1
Не указан,36.0,3,52,Fanta,4512,1
М,20.0,5,72,Water,8357,0
Не указан,56.0,2,69,Fanta,4438,1
М,29.0,1,70,Cola,8335,0
М,78.0,4,43,Water,8632,0
Ж,33.0,4,33,Beerbeer,2025,1
Ж,39.0,5,27,Fanta,3213,0
М,88.0,2,47,Bugbeer,9372,0
Ж,26.0,4,41,Beerbeer,9127,1
Ж,77.0,5,80,Fanta,7205,1
Ж,15.0,5,29,Beerbeer,123,1
М,3.0,0,64,Water,6824,1
М,56.0,0,43,Beerbeer,7045,1
М,48.0,2,16,Fanta,6760,1
Не указан,33.0,3,64,Beerbeer,5484,0
Ж,47.0,1,14,Water,3086,0
Ж,71.0,4,27,Bugbeer,4139,1
Не указан,18.0,5,77,Cola,9634,0
Не указан,56.0,2,69,Beerbeer,3728,1
"не,указан",40.0,0,14,Cola,4444,0
М,96.0,79110443,20,Cola,7933,1
Ж,79.0,4,80,Strong beer,5563,0
Не указан,64.0,5,18,Fanta,9477,1
М,40.0,3,74,Strong beer,9401,0
Не указан,62.0,1,73,Bugbeer,8624,0
Ж,48.0,1,20,Cola,1486,1
Ж,78.0,4,28,Beerbeer,2855,1
Ж,67.0,1,31,Cola,2676,1
Не указан,9.0,0,23,Beerbeer,2998,0
Ж,13.0,4,67,Cola,7858,1
Не указан,5.0,1,77,Strong beer,4010,0
Ж,89.0,1,41,Cola,5555,0
Ж,39.0,5,40,Fanta,4056,0
Не указан,97.0,0,38,Cola,6454,0
М,73.0,1,12,Cola,2453,0
Ж,100.0,0,42,Fanta,5624,1
Ж,14.0,3,71,Strong beer,2121,0
Ж,4.0,4,46,Bugbeer,2473,1
Не указан,,4,47,Bugbeer,447,1
Не указан,11.0,1,64,Water,1545,0
М,27.0,3,40,Strong beer,5953,0
М,0.0,2,48,Fanta,639,1
Мужчина,96.0,4,11,Fanta,9903,1
Не указан,6.0,5,46,Water,9556,1
Ж,53.0,1,71,Water,162,0
Ж,2.0,3,31,Water,6112,1
М,35.0,4,28,Bugbeer,3139,1
Ж,19.0,3,76,Strong beer,4709,0
Не указан,81.0,1,43,Water,62,0
Не указан,8.0,2,74,Strong beer,6644,0
Не указан,65.0,3,39,Strong beer,2269,0
Не указан,,4,53,Strong beer,1254,0
М,14.0,1,16,Fanta,5079,1
М,72.0,3,13,Water,5808,1
Не указан,97.0,-5,11,Water,2588,0
Ж,79.0,0,63,Strong beer,5989,0
М,58.0,0,71,Cola,8066,0
М,,71807170,72,Water,2154,0
М,26.0,4,49,Beerbeer,9388,1
Ж,30.0,1,24,Strong beer,3260,1
Ж,88.0,3,77,Fanta,9580,0
Не указан,85.0,3,53,Beerbeer,5589,0
Ж,27.0,5,26,Strong beer,3944,1
Не указан,,5,52,Beerbeer,536,1
Не указан,61.0,4,29,Bugbeer,5611,1
Не указан,36.0,2,38,Bugbeer,296,1
Ж,65.0,4,44,Bugbeer,1652,1
